Metano	-12.9800	2.36459E+00	-2.13247E-03	5.66180E-06	-3.72476E-09	8.60896E-13
Etano 	-1.7675	1.14290E+00	-3.23600E-04	4.24310E-06	-3.39316E-09	8.82096E-13
Propano	39.4889	3.95000E-01	2.11409E-03	3.96486E-07	-6.67176E-10	1.67936E-13
i-Butano	30.9030	1.53300E-01	2.63479E-03	7.27226E-08	-7.27896E-10	2.36736E-13
n-Butano	67.7210	8.54058E-03	3.27699E-03	-1.10968E-06	1.76646E-10	-6.39926E-15
i-Pentano	64.2500	-1.31798E-01	3.54100E-03	-1.33320E-06	2.51446E-10	-1.29576E-14
n-Pentano	63.1980	-1.17017E-02	3.31640E-03	-1.17050E-06	1.99636E-10	-8.66485E-15
n-Hexano	74.5130	-9.66970E-02	3.47649E-03	-1.32120E-06	2.52365E-10	-1.34666E-14
n-Heptano	71.4100	-9.68949E-02	3.47300E-03	-1.33020E-06	2.55766E-10	-1.37726E-14
n-Octano	126.5070	-2.70100E-01	3.99829E-03	-1.97300E-06	6.22796E-10	-9.38135E-14
n-Nonano	0.0000	-6.52895E-02	3.40288E-03	-1.25345E-06	2.00955E-10	-2.23759E-23
n-Decano	0.0000	-5.56135E-02	3.37665E-03	-1.23882E-06	1.98716E-10	-3.70139E-23
n-C11	0.0000	-5.37062E-02	3.37144E-03	-1.23662E-06	1.97836E-10	-2.08778E-23
n-C12	0.0000	-5.47613E-02	3.37268E-03	-1.24201E-06	1.99451E-10	-3.41020E-23
n-C13	0.0000	-5.67345E-02	3.37640E-03	-1.24967E-06	2.02038E-10	-1.34792E-22
n-C14	0.0000	-5.53483E-02	3.37230E-03	-1.24726E-06	2.01377E-10	-4.43770E-23
n-C15	0.0000	-5.61178E-02	3.37318E-03	-1.25103E-06	2.02432E-10	-6.29863E-23
n-C16	0.0000	-5.75014E-02	3.37633E-03	-1.25675E-06	2.04254E-10	-2.46365E-24
n-C17	0.0000	-5.80973E-02	3.37688E-03	-1.25882E-06	2.05021E-10	4.21753E-23
n-C18	0.0000	-5.68610E-02	3.37355E-03	-1.25642E-06	2.04138E-10	-6.96619E-23
n-C19	0.0000	-5.76885E-02	3.37415E-03	-1.26001E-06	2.05295E-10	-3.35504E-23
n-C20	0.0000	-7.92100E-02	3.43135E-03	-1.31770E-06	2.23681E-10	-2.72426E-23
Nitrógeno	2.8886	9.82747E-01	9.71424E-05	-4.15795E-10	-3.65548E-12	4.05013E-16
Sulfuro de hidrógeno	-1.4350	9.98500E-01	-1.84300E-04	5.57076E-07	-3.17706E-10	6.36625E-14
Dióxido de carbono	0.0000	6.18139E-01	4.84485E-04	-1.49353E-07	2.29050E-11	-1.37045E-15
Monóxido de carbono	-2.2690	1.07390E+00	-1.72650E-04	3.02226E-07	-1.37526E-10	2.00356E-14
Agua	-5.7296	1.91450E+00	-3.95740E-04	8.76206E-07	-4.95055E-10	1.03846E-13
