Metano	C1H4	16.04246	-258.73	18.69	0	-116.41	673.07	1.58582598	1.15E-02	0.290
Etano 	C2H6	30.06904	-127.49	22.20	0	90.10	708.34	2.370732111	9.86E-02	0.282
Propano	C3H8	44.09562	-43.75	31.63	188.64	206.15	617.38	3.20E+00	0.152400002	0.278
i-Butano	C4H10	58.1222	10.78	35.08	72.581	274.90	529.04	4.212855163	0.18479	0.275
n-Butano	C4H10	58.1222	31.08	36.41	51.706	305.69	550.65	4.084547299	0.201000005	0.273
i-Pentano	C5H12	72.14878	82.12	38.92	20.445	369.05	483.50	4.933525729	0.222240001	0.272
n-Pentano	C5H12	72.14878	96.92	39.31	15.574	385.61	489.52	4.981580967	0.253890008	0.269
n-Hexano	C6H14	86.17536	155.72	41.37	4.9597	454.55	439.70	5.894793291	0.300700009	0.265
n-Heptano	C7H16	100.20194	209.16	42.88	1.62	512.61	396.94	6.823543618	0.349790007	0.261
n-Octano	C8H18	114.22852	258.21	44.04	0.53694	563.81	362.10	7.784971583	0.401800007	0.256
n-Nonano	C9H20	128.2551	303.47	44.96	0.17953	610.61	333.60	8.697864058	0.445490003	0.253
n-Decano	C10H22	142.2850037	345.4682202	45.74230711	42.89321568	652.0064404	305.6742117	9.642632638	0.488480002	0.249
n-Nonano	C11H24	156.3130035	384.6020154	46.37439061	42.32762378	689.2682202	284.9889357	10.57218402	0.535000026	0.245
Dodecano	C12H26	170.3390045	421.3004163	46.89248128	41.86959944	725.2682202	265.4073944	11.42068172	0.561990023	0.243
Tridecado	C13H28	184.3670044	455.772218	47.37124201	41.45075259	756.7682202	249.9768313	12.49423889	0.623000026	0.238
n-C14	C14H30	198.3800049	488.314436	47.62713432	41.2286045	789.53	234.9871886	13.29516209	0.67900002	0.233
n-C15	C15H32	212.4100037	519.1124097	48.09484517	40.82564229	812.93	219.9946422	14.09592487	0.705990016	0.230
n-C16	C16H34	226.4290009	548.2220044	48.411729	40.55486753	830.93	206.0347636	15.05687211	0.764980018	0.225
n-C17	C17H36	240.4570007	575.8682202	48.70582721	40.30517	860.3959912	191.0001507	16.11152761	0.769990027	0.225
n-C18	C18H38	254.4790039	602.0762158	48.9493589	40.09956888	881.7980176	175.9988936	17.13975304	0.800000012	0.222
n-C19	C19H40	268.5100098	627.1682202	49.16773116	39.91610057	901.002229	161.9998519	18.10085972	0.827000022	0.220
n-C20	C20H42	282.5400085	650.802229	49.35988473	39.75535467	922.73	168.243732	19.06196832	0.906877995	0.213
Nitrógeno	N2	28.01300049	-320.44	50.34	0	-232.52	492.31	1.441661457	4.00E-02	0.287
Sulfuro de hidrógeno	H2S	34.07600021	-75.37	49.22	0	212.81	1306.47	1.57E+00	8.10E-02	0.284
Dióxido de carbono	CO2	44.00970078	-109.39	51.52	0	87.71	1068.93	1.504133435	0.238940001	0.270
Monóxido de carbono	CO	28.0109005	-312.61	49.90	0	-220.36	507.45	1.430446913	9.30E-02	0.283
Agua	H2O	18.01510048	212.00	62.30	0	705.47	3208.23	9.15E-01	0.344000012	0.261
